Nº;Fecha;Curso;Tipo;Subtipo;Días;Horas totales;Hora inicio;Zona;Instalación;Monitor/a;Precio socio €;Precio no socio €;Plazas totales;Plazas libres;Alistados totales;Alistados socios;Alistados no socios;% Ocupación;Temporada;Día semana;Franja
1;2012-09-19;Masterclass Rollerdance Asha Kirkby;Rollerdance;Masterclass/Fitness;;;20:30;Retiro;Paseo De Coches;;26,0;35,0;20;18;2;2;0;10,0;2012-13;Miércoles;Tarde
2;2012-09-19;Masterclass Rollerdance Asha Kirkby;Rollerdance;Masterclass/Fitness;;;19:00;Retiro;Paseo De Coches;;26,0;35,0;20;19;1;1;0;5,0;2012-13;Miércoles;Tarde
3;2012-10-21;ROLLER FITNESS;Rollerdance;Masterclass/Fitness;;;11:00;Retiro;Paseo De Coches;;21,0;30,0;16;14;2;2;0;12,5;2012-13;Domingo;Mañana
4;2013-04-21;Curso Urbano Patinaje 1;Urbano;Nivel 1 (2013);;;10:00;Retiro;Paseo De Coches;;18,5;26,0;10;9;1;1;0;10,0;2012-13;Domingo;Mañana
5;2013-05-12;Curso Urbano Patinaje 2;Urbano;Nivel 2 (2013);;;10:00;Retiro;Paseo De Coches;;18,5;26,0;10;10;0;0;0;0,0;2012-13;Domingo;Mañana
6;2013-05-23;Masterclass Rollerdance Asha Kirkby;Rollerdance;Masterclass/Fitness;;;20:30;Retiro;Paseo De Coches;;9,0;12,0;16;9;7;2;5;43,8;2012-13;Jueves;Tarde
7;2013-05-23;Masterclass Rollerdance Asha Kirkby;Rollerdance;Masterclass/Fitness;;;19:00;Retiro;Paseo De Coches;;9,0;12,0;16;14;2;2;0;12,5;2012-13;Jueves;Tarde
8;2013-05-25;Curso Urbano Patinaje 2;Urbano;Nivel 2 (2013);;;16:00;Retiro;Paseo De Coches;;18,5;26,0;10;9;1;1;0;10,0;2012-13;Sábado;Tarde
9;2013-06-22;Curso Urbano Patinaje 3;Urbano;Nivel 3 (2013);;;17:00;Retiro;Paseo De Coches;;18,5;26,0;10;8;2;1;1;20,0;2012-13;Sábado;Tarde
10;2013-07-04;Entrenamiento Patinaje Velocidad 6H;Velocidad;Tecnificación;;;20:15;Retiro;Paseo De Coches;Lucia;31,25;50,0;20;16;4;4;0;20,0;2012-13;Jueves;Tarde
